smoking,gender,age,education,weight,height,bmi
no,female,48,Some college / AA,80.4,162.7,30.4
no,female,30,9-11th grade,66.8,168.8,23.4
yes,male,64,Some college / AA,105.2,176.3,33.8
no,female,36,Some college / AA,57.6,156.5,23.5
yes,male,77,College or above,92.6,177.0,29.6
no,female,26,College or above,60.0,171.0,20.5
no,female,18,Some college / AA,50.7,159.7,19.9
yes,female,56,HS or GED,95.8,160.9,37.0
no,male,26,HS or GED,68.1,166.8,24.5
yes,female,60,College or above,82.3,156.5,33.6
no,female,42,HS or GED,46.0,150.8,20.2
no,female,19,Some college / AA,71.4,159.0,28.2
no,female,31,College or above,62.0,158.9,24.6
no,female,35,HS or GED,55.7,148.4,25.3
yes,male,59,College or above,91.3,178.0,28.8
no,male,69,College or above,99.8,184.4,29.4
no,female,19,Some college / AA,81.34267560889516,166.1428344791116,29.382197103497
no,male,28,College or above,76.9,166.9,27.6
no,female,62,Some college / AA,68.4,155.1,28.4
no,male,23,College or above,76.8,174.1,25.3
no,female,74,HS or GED,60.4,155.4,25.0
yes,female,22,Some college / AA,64.5,152.0,27.9
yes,male,25,HS or GED,83.6,174.7,27.4
yes,female,79,Some college / AA,78.0,168.4,27.5
yes,male,72,9-11th grade,84.8,169.3,29.6
yes,female,58,Some college / AA,64.0,155.7,26.4
no,female,24,HS or GED,100.8,166.0,36.6
no,female,24,Some college / AA,56.0,171.0,19.2
no,male,54,HS or GED,74.7,171.6,25.4
yes,female,28,Some college / AA,75.7,151.8,32.9
no,male,37,Some college / AA,102.2,184.4,30.1
no,female,22,HS or GED,59.8,165.6,21.8
yes,female,53,HS or GED,77.6,162.1,29.5
no,female,57,HS or GED,82.1,164.0,30.5
no,male,56,College or above,54.6,165.5,19.9
no,female,54,College or above,53.1,154.5,22.2
no,male,56,College or above,79.9,179.7,24.7
yes,male,55,Some college / AA,123.7,190.4,34.1
yes,female,23,HS or GED,53.9,167.8,19.1
no,female,78,College or above,55.0,154.2,23.1
yes,female,65,Some college / AA,64.6,156.2,26.5
yes,female,80,Some college / AA,65.2,156.6,26.6
yes,female,19,Some college / AA,75.1,160.3,29.2
yes,female,60,9-11th grade,79.3,156.4,32.4
yes,male,80,9-11th grade,62.1,161.9,23.7
no,female,23,9-11th grade,61.9,154.3,26.0
no,female,21,HS or GED,79.2,161.5,30.4
yes,male,31,9-11th grade,74.8,170.7,25.7
no,male,34,College or above,73.2,172.7,24.5
no,female,25,HS or GED,88.4,169.5,30.8
no,female,18,Some college / AA,71.6,161.4,27.5
no,female,31,Some college / AA,102.6,163.4,38.4
no,male,47,Some college / AA,92.2,175.3,30.0
no,female,61,Some college / AA,73.1,158.7,29.0
yes,female,37,HS or GED,61.7,169.4,21.5
yes,female,56,HS or GED,83.5,153.8,35.3
no,male,27,College or above,71.5,177.9,22.6
no,female,55,College or above,73.9,158.9,29.3
no,female,25,College or above,43.6,156.1,17.9
yes,male,65,Some college / AA,106.5,176.8,34.1
yes,male,72,College or above,80.3,169.7,27.9
no,female,55,College or above,97.5,152.1,42.1
yes,male,61,College or above,114.2,171.6,38.8
yes,female,27,College or above,84.6,167.1,30.3
no,male,18,Some college / AA,86.9,182.5,26.1
yes,female,32,College or above,105.8,160.9,40.9
yes,male,66,Some college / AA,112.7,173.2,37.6
no,female,56,9-11th grade,97.3,162.8,36.7
no,female,62,Some college / AA,96.3,155.8,39.7
yes,male,23,Some college / AA,81.34267560889516,166.1428344791116,29.382197103497
no,male,23,9-11th grade,69.6,167.4,24.8
no,female,22,Some college / AA,99.7,158.4,39.7
no,male,35,Some college / AA,95.5,174.5,31.4
yes,male,40,Some college / AA,78.3,180.2,24.1
yes,female,67,HS or GED,78.5,156.6,32.0
yes,male,80,College or above,69.0,169.4,24.0
no,male,26,9-11th grade,80.4,168.4,28.4
no,male,30,9-11th grade,89.4,181.4,27.2
no,female,63,Some college / AA,80.6,161.0,31.1
yes,male,63,HS or GED,113.5,182.7,34.0
no,male,62,HS or GED,76.6,169.4,26.7
yes,male,54,Some college / AA,96.1,178.9,30.0
no,female,59,HS or GED,104.0,158.6,41.3
yes,male,48,HS or GED,104.0,182.6,31.2
yes,male,80,Some college / AA,84.0,161.8,32.1
yes,male,54,9-11th grade,81.7,173.1,27.3
no,female,42,College or above,88.0,170.5,30.3
no,female,23,Some college / AA,78.5,153.6,33.3
no,female,41,9-11th grade,64.7,155.4,26.8
yes,female,21,Some college / AA,60.2,155.1,25.0
yes,male,53,Some college / AA,75.5,170.0,26.1
no,female,40,College or above,50.6,158.2,20.2
no,male,43,Some college / AA,108.5,170.8,37.2
no,female,32,Some college / AA,60.9,145.0,29.0
yes,female,80,Some college / AA,69.4,162.7,26.2
no,male,57,HS or GED,103.0,169.4,35.9
yes,female,71,College or above,66.9,153.1,28.5
yes,female,30,9-11th grade,105.6,156.3,43.2
no,female,80,HS or GED,52.9,152.0,22.9
no,female,28,9-11th grade,93.1,165.8,33.9
yes,female,54,HS or GED,74.0,164.0,27.5
no,female,80,HS or GED,47.0,153.6,19.9
no,female,50,College or above,62.8,168.9,22.0
yes,male,80,College or above,129.2,179.0,40.3
yes,female,30,College or above,66.7,160.1,26.0
yes,male,59,College or above,95.8,185.0,28.0
no,male,35,Some college / AA,64.3,167.2,23.0
no,female,22,Some college / AA,41.9,158.4,16.7
no,male,40,College or above,89.9,176.1,29.0
yes,male,41,HS or GED,88.3,178.8,27.6
no,male,18,Some college / AA,58.2,169.1,20.4
yes,female,73,Some college / AA,52.0,155.4,21.5
yes,female,56,9-11th grade,59.2,161.5,22.7
no,female,25,College or above,63.8,157.7,25.7
no,female,39,HS or GED,88.2,158.7,35.0
yes,male,29,Some college / AA,71.5,182.9,21.4
no,male,33,College or above,72.4,175.9,23.4
yes,male,70,9-11th grade,81.34267560889516,166.1428344791116,29.382197103497
yes,female,43,College or above,85.6,166.9,30.7
yes,female,68,9-11th grade,104.4,164.8,38.4
yes,male,60,Some college / AA,79.5,155.7,32.8
no,female,73,9-11th grade,78.5,142.3,38.8
no,female,27,HS or GED,70.4,166.6,25.4
no,male,23,HS or GED,71.2,185.0,20.8
no,female,18,Some college / AA,48.2,158.2,19.3
no,female,47,College or above,71.9,159.7,28.2
no,male,58,College or above,87.7,175.7,28.4
yes,male,61,HS or GED,67.4,163.9,25.1
yes,female,22,9-11th grade,86.1,166.8,30.9
no,female,48,HS or GED,87.6,158.7,34.8
yes,male,47,Some college / AA,75.7,183.5,22.5
yes,male,75,HS or GED,89.8,161.7,34.3
yes,female,55,Some college / AA,98.9,171.1,33.8
yes,female,51,Some college / AA,114.9,171.7,39.0
no,female,22,College or above,81.34267560889516,166.1428344791116,29.382197103497
no,male,18,Some college / AA,76.2,176.0,24.6
no,female,71,HS or GED,79.7,160.5,30.9
yes,male,41,College or above,75.9,162.8,28.6
yes,male,34,9-11th grade,69.0,163.3,25.9
yes,male,60,HS or GED,74.9,178.5,23.5
yes,female,44,9-11th grade,110.1,161.8,42.1
yes,male,50,9-11th grade,63.5,166.7,22.9
no,male,19,Some college / AA,87.4,169.7,30.3
no,female,57,9-11th grade,53.5,153.9,22.6
no,male,47,College or above,115.1,181.3,35.0
no,male,33,College or above,55.6,177.1,17.7
yes,male,80,9-11th grade,87.7,168.4,30.9
no,male,80,9-11th grade,69.7,166.4,25.2
yes,female,36,HS or GED,124.2,167.6,44.2
yes,male,59,Some college / AA,78.8,180.4,24.2
yes,female,54,Some college / AA,101.5,165.1,37.2
no,male,45,HS or GED,81.3,177.0,26.0
no,female,63,Some college / AA,91.5,162.4,34.7
no,female,80,College or above,60.1,152.6,25.8
yes,female,66,Some college / AA,72.6,172.1,24.5
no,male,22,Some college / AA,92.3,168.5,32.5
no,male,54,Some college / AA,111.5,185.7,32.3
yes,male,62,HS or GED,114.0,189.0,31.9
yes,male,70,9-11th grade,85.7,175.0,28.0
no,female,65,College or above,55.4,157.6,22.3
no,male,36,College or above,92.1,177.9,29.1
no,male,56,Some college / AA,125.0,181.3,38.0
no,female,34,Some college / AA,69.1,155.6,28.5
no,female,23,HS or GED,67.3,170.1,23.3
yes,male,41,College or above,89.4,181.3,27.2
yes,female,44,9-11th grade,103.2,154.3,43.3
no,female,40,Some college / AA,100.8,165.7,36.7
no,female,33,HS or GED,79.4,146.1,37.2
yes,male,52,Some college / AA,82.8,168.0,29.3
no,male,31,College or above,69.1,164.7,25.5
yes,female,48,HS or GED,100.5,170.4,34.6
no,male,28,Some college / AA,71.3,170.1,24.6
yes,male,47,Some college / AA,73.2,176.7,23.4
no,male,43,9-11th grade,119.5,178.0,37.7
yes,female,20,Some college / AA,65.1,173.4,21.7
yes,female,29,Some college / AA,74.4,146.1,34.9
no,male,42,HS or GED,63.6,163.1,23.9
yes,male,66,Some college / AA,73.0,161.0,28.2
yes,female,50,Some college / AA,92.4,178.8,28.9
yes,female,78,HS or GED,77.2,162.1,29.4
yes,male,71,9-11th grade,90.4,169.0,31.7
no,male,20,Some college / AA,67.1,174.5,22.0
no,male,28,Some college / AA,89.0,186.3,25.6
no,female,38,College or above,80.5,163.1,30.3
yes,female,51,College or above,94.2,155.0,39.2
yes,female,25,Some college / AA,57.4,161.5,22.0
no,male,19,Some college / AA,71.1,176.6,22.8
yes,female,76,Some college / AA,70.3,166.8,25.3
yes,male,44,Some college / AA,68.2,177.2,21.7
no,male,71,HS or GED,62.8,164.7,23.2
yes,female,53,9-11th grade,90.2,165.4,33.0
no,male,18,Some college / AA,73.8,174.3,24.3
yes,male,45,College or above,67.4,174.2,22.2
no,male,18,Some college / AA,70.7,171.6,24.0
yes,male,31,HS or GED,100.3,186.9,28.7
yes,female,28,Some college / AA,45.9,157.8,18.4
yes,male,75,College or above,77.2,170.8,26.5
yes,female,33,Some college / AA,59.6,162.4,22.6
no,male,44,Some college / AA,106.2,176.0,34.3
no,female,45,HS or GED,49.0,153.0,20.9
no,female,61,College or above,88.9,161.9,33.9
no,male,24,Some college / AA,97.5,178.3,30.7
no,male,25,College or above,69.8,175.5,22.7
no,male,58,College or above,84.2,191.3,23.0
no,female,32,Some college / AA,61.2,170.2,21.1
yes,male,39,9-11th grade,74.8,165.1,27.4
no,female,45,9-11th grade,72.3,155.7,29.8
no,male,23,College or above,61.6,178.1,19.4
yes,female,27,HS or GED,55.9,155.3,23.2
yes,male,50,HS or GED,78.5,159.1,31.0
no,male,24,College or above,72.6,167.4,25.9
yes,male,24,College or above,79.3,177.9,25.1
no,female,28,HS or GED,65.1,163.9,24.2
no,male,36,Some college / AA,61.3,173.8,20.3
no,female,28,Some college / AA,74.7,169.2,26.1
no,female,51,HS or GED,55.1,153.9,23.3
no,female,42,College or above,99.6,163.7,37.2
yes,female,56,Some college / AA,73.3,165.9,26.6
no,male,26,Some college / AA,127.4,177.6,40.4
no,male,33,9-11th grade,77.5,169.5,27.0
yes,female,62,HS or GED,86.5,163.2,32.5
yes,male,40,HS or GED,77.7,190.9,21.3
no,male,33,College or above,90.5,170.4,31.2
yes,male,32,9-11th grade,78.2,167.3,27.9
no,male,22,Some college / AA,106.4,175.0,34.7
yes,female,35,9-11th grade,107.9,164.1,40.1
no,female,44,College or above,97.3,170.6,33.4
