smoking,gender,age,education,weight,height,bmi
no,male,27,College or above,90.2,175.4,29.3
no,female,51,9-11th grade,65.5,155.7,27.0
no,male,38,College or above,123.2,182.9,36.8
yes,male,77,College or above,73.1,160.9,28.2
no,male,33,Some college / AA,121.9,173.8,40.4
no,male,18,Some college / AA,79.4,162.2,30.2
no,male,47,Some college / AA,56.2,158.4,22.4
no,female,80,9-11th grade,83.3,164.3,30.9
no,female,58,College or above,80.4,166.0,29.2
no,female,72,9-11th grade,100.9,168.2,35.7
no,female,50,College or above,59.4,149.7,26.5
no,female,37,Some college / AA,109.8,164.8,40.4
no,female,42,Some college / AA,97.0,151.4,42.3
yes,male,31,Some college / AA,94.9,178.4,29.8
yes,female,22,9-11th grade,104.5,156.6,42.6
no,female,62,HS or GED,103.6,158.9,41.0
yes,male,54,HS or GED,94.0,179.9,29.0
yes,male,71,College or above,60.7,170.5,20.9
no,female,56,HS or GED,56.6,147.8,25.9
no,female,19,Some college / AA,61.5,154.9,25.6
no,male,24,Some college / AA,54.5,183.4,16.2
no,male,33,9-11th grade,71.0,164.2,26.3
no,female,68,College or above,81.34267560889516,166.1428344791116,29.382197103497
no,female,80,HS or GED,81.4,179.6,25.2
no,female,35,HS or GED,114.8,162.9,43.3
no,female,49,HS or GED,81.1,171.6,27.5
no,female,40,HS or GED,121.0,165.9,44.0
no,female,34,Some college / AA,50.9,158.5,20.3
no,male,45,9-11th grade,79.6,173.4,26.5
no,female,66,Some college / AA,77.6,153.8,32.8
yes,female,22,9-11th grade,76.7,170.3,26.4
no,female,28,College or above,58.0,164.1,21.5
no,male,22,HS or GED,74.2,172.8,24.8
yes,male,46,HS or GED,80.1,181.7,24.3
no,male,26,9-11th grade,61.8,180.4,19.0
no,male,46,College or above,92.5,171.2,31.6
no,female,42,College or above,52.1,166.3,18.8
no,female,29,Some college / AA,81.1,162.4,30.8
no,male,80,College or above,65.9,171.0,22.5
no,male,43,Some college / AA,94.9,170.8,32.5
no,female,44,Some college / AA,83.3,166.1428344791116,29.382197103497
yes,female,46,Some college / AA,87.2,156.7,35.5
no,female,60,9-11th grade,45.9,150.3,20.3
yes,female,29,Some college / AA,67.5,160.9,26.1
no,female,34,HS or GED,74.9,158.7,29.7
yes,male,29,College or above,89.2,168.4,31.5
no,male,48,Some college / AA,101.3,182.8,30.3
no,male,33,Some college / AA,103.6,179.9,32.0
no,female,27,Some college / AA,91.1,159.8,35.7
yes,male,19,Some college / AA,68.1,181.8,20.6
no,female,31,Some college / AA,102.3,160.2,39.9
no,male,57,HS or GED,71.1,166.2,25.7
yes,male,48,9-11th grade,73.4,162.6,27.8
no,female,50,HS or GED,83.1,153.6,35.2
no,female,37,Some college / AA,110.0,162.4,41.7
no,female,38,Some college / AA,62.8,146.4,29.3
yes,female,73,Some college / AA,77.9,175.6,25.3
yes,male,75,Some college / AA,79.6,177.5,25.3
no,male,80,Some college / AA,70.5,161.7,27.0
yes,male,59,Some college / AA,77.6,168.3,27.4
yes,male,23,Some college / AA,88.6,166.9,31.8
no,male,38,College or above,104.4,176.9,33.4
no,female,37,HS or GED,62.8,161.2,24.2
yes,male,66,Some college / AA,97.9,162.4,37.1
no,female,21,Some college / AA,74.3,148.5,33.7
yes,male,67,Some college / AA,91.1,177.3,29.0
no,female,19,Some college / AA,86.5,163.9,32.2
yes,male,77,Some college / AA,81.7,166.3,29.5
no,female,58,Some college / AA,48.1,151.8,20.9
no,female,35,Some college / AA,69.1,156.4,28.2
yes,female,79,HS or GED,71.9,154.4,30.2
no,male,27,9-11th grade,79.2,167.4,28.3
no,female,40,Some college / AA,84.3,160.9,32.6
no,female,48,HS or GED,53.6,158.6,21.3
no,female,29,HS or GED,49.4,155.6,20.4
no,female,33,Some college / AA,99.9,159.6,39.2
no,female,68,Some college / AA,83.1,167.5,29.6
no,female,30,Some college / AA,64.1,170.5,22.1
no,female,70,9-11th grade,66.2,155.4,27.4
no,male,32,College or above,61.6,171.1,21.0
no,female,42,College or above,71.6,165.4,26.2
no,male,30,College or above,86.8,176.8,27.8
yes,male,59,9-11th grade,95.5,174.4,31.4
no,male,49,College or above,102.8,173.6,34.1
yes,male,46,HS or GED,111.9,185.0,32.7
yes,male,58,9-11th grade,115.0,182.5,34.5
no,female,55,College or above,59.5,158.3,23.7
no,male,33,Some college / AA,76.3,180.7,23.4
no,female,70,Some college / AA,67.8,150.0,30.1
yes,female,59,College or above,84.4,161.3,32.4
no,female,52,Some college / AA,67.6,160.3,26.3
no,female,18,Some college / AA,81.34267560889516,166.1428344791116,29.382197103497
no,male,41,Some college / AA,118.9,171.9,40.2
yes,male,63,College or above,109.6,177.8,34.7
yes,male,54,Some college / AA,91.0,183.6,27.0
no,male,40,College or above,105.2,188.5,29.6
no,female,28,Some college / AA,78.9,166.8,28.4
no,female,68,9-11th grade,64.9,149.5,29.0
no,female,26,College or above,65.2,172.3,22.0
no,female,27,9-11th grade,117.5,162.8,44.3
no,female,31,Some college / AA,79.0,148.3,35.9
no,male,75,HS or GED,75.6,169.6,26.3
yes,female,38,Some college / AA,56.1,166.5,20.2
no,male,19,Some college / AA,57.7,164.9,21.2
no,female,28,HS or GED,97.7,158.0,39.1
yes,female,54,Some college / AA,64.8,170.3,22.3
no,female,41,9-11th grade,71.7,147.3,33.0
no,male,26,College or above,76.3,168.6,26.8
yes,male,71,Some college / AA,106.0,176.7,33.9
yes,female,19,Some college / AA,66.2,148.1,30.2
no,female,47,College or above,87.1,165.7,31.7
no,female,21,HS or GED,92.1,159.2,36.3
no,female,20,HS or GED,92.5,167.6,32.9
yes,female,47,Some college / AA,70.5,159.4,27.7
yes,female,29,Some college / AA,58.7,169.9,20.3
yes,male,61,HS or GED,85.9,168.4,30.3
no,female,23,9-11th grade,61.5,151.4,26.8
no,female,25,College or above,49.9,161.5,19.1
no,female,51,Some college / AA,65.8,158.2,26.3
no,male,60,HS or GED,101.5,177.7,32.1
yes,female,34,College or above,81.34267560889516,166.1428344791116,29.382197103497
no,female,28,HS or GED,61.6,165.3,22.5
no,female,42,College or above,91.9,153.9,38.8
no,female,80,9-11th grade,52.5,152.2,22.7
no,female,80,Some college / AA,75.3,157.0,30.5
yes,female,60,9-11th grade,99.3,163.3,37.2
no,male,31,HS or GED,78.6,162.0,29.9
yes,female,52,Some college / AA,86.9,147.1,40.2
yes,female,69,Some college / AA,82.2,153.6,34.8
yes,male,50,Some college / AA,58.6,172.9,19.6
no,male,22,Some college / AA,54.9,165.1,20.1
no,female,50,Some college / AA,60.8,167.1,21.8
yes,female,58,College or above,102.8,166.8,36.9
no,male,66,College or above,108.1,173.7,35.8
no,male,55,College or above,63.3,161.3,24.3
no,male,24,HS or GED,51.9,175.1,16.9
no,male,65,College or above,71.7,173.2,23.9
no,female,27,9-11th grade,88.1,153.7,37.3
yes,female,74,HS or GED,72.5,156.2,29.7
no,female,38,Some college / AA,111.8,160.7,43.3
no,female,18,Some college / AA,78.0,171.8,26.4
yes,male,37,Some college / AA,99.8,170.0,34.5
no,female,54,Some college / AA,61.3,165.8,22.3
no,female,63,HS or GED,99.3,163.3,37.2
no,female,80,Some college / AA,66.9,160.3,26.0
no,female,58,Some college / AA,68.3,156.5,27.9
no,male,27,Some college / AA,109.8,181.3,33.4
no,male,69,College or above,56.2,163.2,21.1
no,female,48,College or above,95.0,162.9,35.8
yes,female,66,Some college / AA,59.0,157.1,23.9
no,male,53,College or above,110.6,185.3,32.2
no,female,18,Some college / AA,93.4,166.0,33.9
yes,male,45,HS or GED,57.3,161.1,22.1
yes,male,69,HS or GED,94.2,181.8,28.5
no,male,41,HS or GED,106.9,169.5,37.2
yes,female,43,HS or GED,131.1,175.2,42.7
no,female,70,College or above,73.1,171.1,25.0
yes,male,76,College or above,64.5,178.2,20.3
yes,female,31,College or above,48.6,156.9,19.7
yes,male,66,College or above,108.9,170.5,37.5
no,male,19,Some college / AA,80.4,170.4,27.7
yes,male,21,Some college / AA,57.3,176.0,18.5
no,female,30,9-11th grade,67.3,151.7,29.2
no,female,64,Some college / AA,119.3,171.5,40.6
no,female,69,HS or GED,57.9,158.7,23.0
no,female,43,HS or GED,75.0,150.9,32.9
yes,female,21,Some college / AA,40.7,151.9,17.6
no,male,18,Some college / AA,113.4,168.2,40.1
no,female,32,Some college / AA,74.7,160.6,29.0
yes,male,55,HS or GED,81.9,175.0,26.7
no,male,30,College or above,80.9,173.6,26.8
yes,male,66,Some college / AA,85.6,170.5,29.4
yes,male,32,College or above,83.8,176.4,26.9
no,female,19,Some college / AA,45.1,156.9,18.3
no,male,30,College or above,74.6,175.2,24.3
no,female,47,9-11th grade,67.0,151.1,29.3
yes,female,28,HS or GED,89.8,151.7,39.0
no,female,68,HS or GED,86.3,162.7,32.6
no,male,67,Some college / AA,69.4,176.4,22.3
no,female,41,College or above,60.1,172.9,20.1
no,female,28,College or above,114.8,167.9,40.7
yes,female,62,Some college / AA,106.8,158.5,42.5
no,female,28,College or above,60.3,160.3,23.5
yes,female,70,HS or GED,76.8,156.5,31.4
no,male,67,Some college / AA,97.1,175.8,31.4
no,female,20,Some college / AA,94.6,167.2,33.8
no,female,26,College or above,80.7,153.6,34.2
no,female,62,College or above,76.1,160.9,29.4
yes,male,32,HS or GED,90.1,173.3,30.0
no,female,56,College or above,55.0,165.1,20.2
yes,female,54,HS or GED,79.3,159.8,31.1
yes,female,51,Some college / AA,87.3,164.9,32.1
yes,female,71,College or above,100.2,160.2,39.0
yes,female,18,Some college / AA,105.8,165.6,38.6
no,male,50,Some college / AA,96.6,170.5,33.2
no,male,19,Some college / AA,89.7,175.2,29.2
no,female,51,Some college / AA,81.1,154.9,33.8
yes,male,53,College or above,115.1,178.6,36.1
no,female,28,College or above,83.3,172.8,27.9
no,female,38,9-11th grade,95.1,165.4,34.8
no,male,18,Some college / AA,59.1,179.1,18.4
no,male,61,HS or GED,61.1,160.4,23.7
no,male,64,Some college / AA,100.8,167.4,36.0
no,female,19,Some college / AA,60.1,159.8,23.5
no,male,20,Some college / AA,63.0,175.3,20.5
yes,female,32,HS or GED,97.2,171.9,32.9
no,female,54,Some college / AA,91.3,164.3,33.8
no,male,72,College or above,94.3,185.3,27.5
yes,male,24,Some college / AA,100.3,184.8,29.4
yes,male,54,HS or GED,110.9,174.0,36.6
yes,male,40,Some college / AA,78.2,174.9,25.6
no,female,69,College or above,71.0,159.9,27.8
no,female,27,HS or GED,82.3,166.1,29.8
yes,male,19,Some college / AA,82.3,172.1,27.8
yes,male,21,9-11th grade,78.0,182.9,23.3
yes,male,23,College or above,56.2,170.2,19.4
yes,male,31,HS or GED,99.0,180.7,30.3
no,female,49,Some college / AA,114.0,161.9,43.5
yes,male,33,Some college / AA,67.6,176.8,21.6
yes,male,68,Some college / AA,81.1,166.1,29.4
no,female,22,College or above,46.6,167.0,16.7
no,male,29,Some college / AA,95.8,185.1,28.0
no,female,44,Some college / AA,57.2,160.3,22.3
no,female,54,HS or GED,94.5,164.7,34.8
no,female,29,College or above,98.8,155.6,40.8
no,male,34,College or above,76.7,171.9,26.0
yes,male,27,HS or GED,80.2,173.6,26.6
no,male,25,College or above,89.5,184.2,26.4
no,male,37,HS or GED,94.1,173.3,31.3
yes,female,70,Some college / AA,64.2,144.2,30.9
no,female,18,Some college / AA,63.4,163.0,23.9
no,female,68,Some college / AA,84.4,161.8,32.2
no,female,33,College or above,70.5,160.5,27.4
yes,male,34,College or above,71.1,173.6,23.6
yes,male,69,Some college / AA,79.7,164.9,29.3
yes,male,70,College or above,101.5,188.1,28.7
yes,male,24,College or above,86.5,177.2,27.5
yes,female,38,Some college / AA,72.5,156.5,29.6
no,female,41,Some college / AA,93.3,170.8,32.0
no,male,80,College or above,68.2,161.2,26.2
yes,male,80,HS or GED,74.8,168.7,26.3
no,female,48,Some college / AA,84.6,155.6,34.9
no,female,53,HS or GED,68.6,159.7,26.9
no,male,31,College or above,119.2,184.2,35.1
yes,male,57,HS or GED,110.2,178.9,34.4
no,female,20,Some college / AA,61.2,158.4,24.4
no,male,30,Some college / AA,82.0,172.1,27.7
no,female,66,Some college / AA,133.6,174.6,43.8
no,female,38,College or above,63.4,154.6,26.5
no,female,43,College or above,53.8,153.7,22.8
no,female,20,Some college / AA,63.5,166.3,23.0
yes,male,60,College or above,80.2,183.0,23.9
yes,male,43,9-11th grade,68.3,161.0,26.3
yes,male,53,Some college / AA,77.9,185.6,22.6
yes,male,54,9-11th grade,73.0,165.9,26.5
no,male,22,Some college / AA,51.9,174.0,17.1
yes,male,36,College or above,95.7,177.0,30.5
no,female,23,College or above,48.1,148.7,21.8
no,male,22,Some college / AA,77.5,173.5,25.7
no,female,46,College or above,74.9,159.4,29.5
yes,female,51,College or above,72.5,165.9,26.3
yes,male,35,HS or GED,81.9,167.8,29.1
no,female,59,College or above,67.8,167.2,24.3
yes,male,29,9-11th grade,69.2,170.6,23.8
yes,male,44,College or above,88.8,182.3,26.7
no,female,22,College or above,79.3,153.9,33.5
yes,female,52,9-11th grade,83.9,157.6,33.8
yes,female,65,Some college / AA,103.8,173.8,34.4
no,female,27,College or above,120.3,167.3,43.0
yes,male,32,HS or GED,69.8,172.5,23.5
yes,male,33,Some college / AA,71.1,177.3,22.6
yes,female,69,Some college / AA,65.4,167.1,23.4
no,male,52,Some college / AA,97.2,175.8,31.5
yes,male,43,9-11th grade,70.1,169.4,24.4
yes,male,50,9-11th grade,54.5,157.0,22.1
no,female,71,HS or GED,78.2,151.7,34.0
yes,female,24,Some college / AA,75.2,165.7,27.4
no,female,54,Some college / AA,100.3,175.4,32.6
no,female,51,College or above,89.3,176.7,28.6
yes,male,80,Some college / AA,90.8,178.8,28.4
yes,male,36,HS or GED,69.9,177.5,22.2
yes,female,57,Some college / AA,88.9,167.8,31.6
no,female,36,College or above,71.2,167.6,25.3
yes,female,54,Some college / AA,61.0,160.5,23.7
no,female,41,Some college / AA,76.7,162.0,29.2
yes,female,69,HS or GED,80.7,149.0,36.3
no,male,80,9-11th grade,61.0,159.9,23.9
no,female,46,College or above,76.4,160.9,29.5
no,female,25,Some college / AA,69.7,160.8,27.0
no,male,45,HS or GED,104.7,186.7,30.0
no,female,48,HS or GED,78.2,175.9,25.3
no,male,20,HS or GED,84.4,178.6,26.5
no,male,49,Some college / AA,109.7,178.9,34.3
no,male,30,College or above,111.0,183.3,33.0
no,male,19,Some college / AA,72.1,186.0,20.8
no,male,37,Some college / AA,104.6,170.1,36.2
no,female,80,Some college / AA,58.1,149.1,26.1
yes,female,72,Some college / AA,72.0,152.5,31.0
yes,male,24,HS or GED,85.8,169.1,30.0
no,female,72,Some college / AA,88.6,162.6,33.5
yes,male,34,HS or GED,90.5,175.3,29.4
no,female,63,College or above,89.5,159.1,35.4
yes,female,61,Some college / AA,81.3,163.9,30.3
no,female,19,Some college / AA,81.34267560889516,166.1428344791116,29.382197103497
yes,female,37,Some college / AA,50.3,161.2,19.4
yes,male,53,9-11th grade,73.6,167.7,26.2
yes,male,75,Some college / AA,75.8,170.1,26.2
yes,female,34,Some college / AA,69.3,166.2,25.1
no,male,43,HS or GED,74.1,172.2,25.0
yes,female,46,Some college / AA,50.3,165.7,18.3
no,male,41,HS or GED,87.3,173.6,29.0
no,male,36,HS or GED,70.9,173.7,23.5
yes,female,56,College or above,89.5,170.9,30.6
yes,male,70,Some college / AA,93.2,174.1,30.7
yes,female,57,9-11th grade,71.8,156.1,29.5
yes,male,54,Some college / AA,88.3,173.4,29.4
no,female,71,Some college / AA,54.2,147.8,24.8
yes,male,59,HS or GED,74.8,172.8,25.1
yes,male,60,9-11th grade,81.34267560889516,166.1428344791116,29.382197103497
no,female,43,Some college / AA,110.0,158.9,43.6
no,female,44,College or above,115.2,164.9,42.4
yes,female,69,Some college / AA,97.5,162.6,36.9
no,male,28,College or above,99.1,179.3,30.8
no,female,27,College or above,59.7,155.6,24.7
no,female,50,HS or GED,67.4,159.5,26.5
no,male,22,HS or GED,71.7,170.3,24.7
no,male,26,College or above,62.8,167.1,22.5
no,female,58,9-11th grade,67.7,145.7,31.9
yes,male,29,HS or GED,83.5,175.8,27.0
yes,male,39,HS or GED,74.8,185.3,21.8
no,male,28,Some college / AA,54.7,174.0,18.1
no,female,28,College or above,76.3,161.0,29.4
no,female,78,Some college / AA,89.4,168.2,31.6
no,male,50,Some college / AA,95.8,173.7,31.8
no,male,51,HS or GED,114.3,180.1,35.2
yes,male,37,Some college / AA,103.6,187.5,29.5
yes,male,60,Some college / AA,103.8,184.0,30.7
no,male,27,HS or GED,84.3,177.7,26.7
no,male,45,Some college / AA,85.4,175.1,27.9
yes,male,75,HS or GED,98.0,177.2,31.2
no,female,42,Some college / AA,62.8,163.3,23.5
yes,male,66,HS or GED,113.2,159.4,44.6
no,female,20,College or above,83.0,169.3,29.0
no,female,62,9-11th grade,109.5,163.1,41.2
no,male,61,9-11th grade,85.2,181.6,25.8
yes,male,55,HS or GED,70.4,178.0,22.2
no,male,18,Some college / AA,55.7,167.9,19.8
yes,female,35,HS or GED,78.3,172.8,26.2
yes,female,74,9-11th grade,92.8,165.9,33.7
no,male,51,HS or GED,91.4,161.1,35.2
no,female,72,HS or GED,75.8,159.0,30.0
no,male,47,Some college / AA,85.1,180.2,26.2
yes,male,38,9-11th grade,77.9,167.9,27.6
yes,female,56,HS or GED,61.6,161.4,23.6
yes,male,44,9-11th grade,98.1,172.9,32.8
yes,male,32,Some college / AA,108.8,176.1,35.1
no,male,63,College or above,80.9,171.4,27.5
no,female,30,College or above,53.9,155.4,22.3
no,male,62,College or above,66.9,171.3,22.8
no,male,21,HS or GED,76.2,181.6,23.1
yes,male,32,HS or GED,64.1,171.5,21.8
no,male,58,College or above,63.4,170.4,21.8
no,male,66,College or above,99.0,170.4,34.1
no,male,24,College or above,83.6,170.3,28.8
no,male,80,9-11th grade,93.5,181.7,28.3
no,female,70,HS or GED,57.9,143.4,28.2
no,female,48,Some college / AA,83.6,155.9,34.4
no,male,47,Some college / AA,91.5,181.0,27.9
yes,male,44,HS or GED,115.5,179.1,36.0
no,male,49,HS or GED,118.3,179.6,36.7
no,female,47,Some college / AA,71.0,153.2,30.3
no,female,31,College or above,94.2,162.7,35.6
yes,male,50,HS or GED,72.3,170.4,24.9
yes,male,76,HS or GED,98.1,177.2,31.2
no,male,45,HS or GED,67.2,152.9,28.7
no,female,26,Some college / AA,87.3,167.0,31.3
no,male,18,Some college / AA,53.2,181.4,16.2
yes,male,57,Some college / AA,66.7,174.9,21.8
yes,female,29,HS or GED,74.7,153.1,31.9
yes,male,51,Some college / AA,62.5,158.6,24.8
no,female,19,Some college / AA,47.9,162.5,18.1
no,female,70,HS or GED,53.6,151.5,23.4
no,female,29,Some college / AA,71.1,162.5,26.9
no,female,53,HS or GED,59.7,145.9,28.0
no,female,43,Some college / AA,100.9,166.0,36.6
no,male,18,Some college / AA,71.7,167.8,25.5
no,female,31,Some college / AA,94.9,163.4,35.5
no,female,70,College or above,75.3,158.0,30.2
no,male,76,Some college / AA,76.8,174.5,25.2
yes,female,31,HS or GED,86.5,158.2,34.6
yes,male,22,HS or GED,94.6,174.5,31.1
no,male,78,9-11th grade,107.1,178.1,33.8
no,male,24,College or above,111.8,184.5,32.8
no,female,49,College or above,96.7,168.4,34.1
no,male,49,College or above,90.3,174.5,29.7
yes,female,80,HS or GED,77.7,158.8,30.8
no,female,57,College or above,82.9,161.2,31.9
yes,female,56,Some college / AA,62.3,159.8,24.4
no,female,54,Some college / AA,87.8,157.8,35.3
no,female,55,HS or GED,92.3,148.8,41.7
no,male,35,Some college / AA,131.1,171.8,44.4
yes,male,38,Some college / AA,125.6,188.4,35.4
no,female,52,College or above,69.8,150.8,30.7
yes,male,80,HS or GED,53.0,161.0,20.4
no,male,26,College or above,79.0,185.0,23.1
no,female,52,Some college / AA,60.9,159.8,23.8
no,male,39,Some college / AA,100.9,184.2,29.7
no,male,34,College or above,87.4,169.1,30.6
no,female,19,Some college / AA,67.6,167.9,24.0
no,female,45,9-11th grade,65.0,156.6,26.5
no,female,25,HS or GED,81.3,158.3,32.4
yes,male,57,HS or GED,67.4,167.1,24.1
no,female,42,9-11th grade,92.5,163.7,34.5
no,male,19,Some college / AA,61.0,171.1,20.8
yes,female,52,HS or GED,115.9,174.6,38.0
no,female,53,9-11th grade,47.7,148.9,21.5
yes,male,32,HS or GED,81.34267560889516,166.1428344791116,29.382197103497
yes,male,80,College or above,86.1,169.7,29.9
no,female,63,College or above,84.4,160.8,32.6
yes,male,19,Some college / AA,100.9,171.6,34.3
yes,female,58,College or above,81.34267560889516,166.1428344791116,29.382197103497
yes,female,30,Some college / AA,81.34267560889516,166.1428344791116,29.382197103497
yes,female,30,College or above,82.4,176.9,26.3
no,female,32,Some college / AA,80.2,169.1,28.0
no,male,19,Some college / AA,71.4,176.3,23.0
yes,male,51,9-11th grade,114.2,178.7,35.8
no,female,39,Some college / AA,104.1,169.6,36.2
no,female,61,Some college / AA,64.3,154.2,27.0
yes,male,24,Some college / AA,65.2,192.9,17.5
yes,male,60,College or above,71.6,178.3,22.5
no,male,65,College or above,65.5,177.0,20.9
yes,female,67,Some college / AA,71.5,159.2,28.2
yes,female,73,9-11th grade,93.9,154.5,39.3
yes,female,43,Some college / AA,57.1,160.2,22.2
yes,male,35,Some college / AA,73.3,165.1,26.9
yes,female,77,Some college / AA,79.0,158.5,31.4
yes,male,37,HS or GED,91.4,175.9,29.5
no,female,68,Some college / AA,64.9,148.9,29.3
yes,male,80,HS or GED,73.2,177.6,23.2
no,female,24,College or above,62.8,155.2,26.1
no,female,30,College or above,55.8,155.9,23.0
no,male,48,9-11th grade,86.3,174.0,28.5
no,male,19,Some college / AA,64.7,176.2,20.8
no,female,43,Some college / AA,74.7,166.7,26.9
yes,male,57,College or above,75.0,169.0,26.3
no,male,66,HS or GED,105.4,171.8,35.7
yes,male,36,Some college / AA,61.7,162.0,23.5
yes,male,39,Some college / AA,77.5,169.6,26.9
yes,male,39,Some college / AA,99.3,170.5,34.2
yes,male,42,HS or GED,84.4,183.4,25.1
no,female,30,Some college / AA,61.5,143.7,29.8
no,female,23,HS or GED,78.7,167.1,28.2
yes,male,58,HS or GED,79.9,164.7,29.5
yes,male,69,College or above,99.5,173.2,33.2
yes,female,63,HS or GED,85.2,162.9,32.1
yes,female,65,Some college / AA,55.2,161.8,21.1
no,male,55,Some college / AA,85.5,177.6,27.1
yes,male,50,9-11th grade,87.5,167.9,31.0
yes,male,22,HS or GED,102.9,175.0,33.6
yes,female,68,College or above,77.1,143.1,37.7
no,female,52,Some college / AA,86.6,163.6,32.4
yes,male,68,College or above,111.9,183.1,33.4
no,male,20,HS or GED,65.2,166.8,23.4
no,female,51,Some college / AA,87.4,161.8,33.4
yes,male,52,9-11th grade,73.3,163.3,27.5
no,female,30,College or above,54.8,151.2,24.0
yes,female,52,HS or GED,97.6,161.0,37.7
no,male,74,HS or GED,58.9,154.0,24.8
no,female,32,Some college / AA,46.5,157.7,18.7
yes,male,80,College or above,94.6,181.4,28.7
yes,male,20,9-11th grade,81.2,185.3,23.6
no,female,48,HS or GED,58.3,150.2,25.8
no,male,58,HS or GED,122.3,187.7,34.7
no,female,67,College or above,70.5,155.0,29.3
no,male,80,HS or GED,89.1,168.8,31.3
no,male,36,College or above,97.0,172.6,32.6
no,male,29,HS or GED,131.1,182.7,39.3
yes,female,46,College or above,60.2,159.2,23.8
no,female,46,College or above,66.4,152.1,28.7
no,male,33,Some college / AA,76.5,173.4,25.4
no,male,70,College or above,80.3,166.5,29.0
yes,male,51,9-11th grade,71.2,177.9,22.5
yes,male,80,HS or GED,98.1,173.1,32.7
no,male,32,Some college / AA,81.8,183.0,24.4
no,female,61,9-11th grade,99.3,160.1,38.7
yes,female,25,HS or GED,88.3,157.8,35.5
no,female,48,College or above,67.1,173.0,22.4
yes,female,70,Some college / AA,68.7,163.0,25.9
yes,male,54,HS or GED,58.1,164.5,21.5
no,male,29,College or above,62.5,157.1,25.3
yes,female,46,Some college / AA,59.3,166.4,21.4
yes,female,75,9-11th grade,65.0,158.6,25.8
yes,male,75,Some college / AA,73.9,169.9,25.6
yes,female,68,Some college / AA,76.9,161.3,29.6
no,female,29,College or above,119.3,170.4,41.1
no,female,46,College or above,61.0,152.5,26.2
no,female,44,Some college / AA,106.0,161.7,40.5
no,male,31,College or above,96.5,185.7,28.0
no,female,70,Some college / AA,53.1,168.9,18.6
no,female,56,9-11th grade,70.8,143.7,34.3
yes,male,35,9-11th grade,94.4,182.3,28.4
yes,male,75,College or above,93.2,181.0,28.4
no,male,74,College or above,89.1,182.8,26.7
no,male,49,Some college / AA,128.2,180.5,39.3
yes,female,26,College or above,83.1,154.0,35.0
no,female,42,College or above,82.0,167.1,29.4
yes,female,49,9-11th grade,107.6,172.1,36.3
no,female,48,College or above,48.3,151.2,21.1
yes,male,20,Some college / AA,61.6,168.0,21.8
no,female,63,College or above,57.4,149.1,25.8
yes,male,80,College or above,101.2,179.7,31.3
yes,male,80,Some college / AA,82.3,171.1,28.1
no,female,20,Some college / AA,41.5,157.8,16.7
yes,female,45,Some college / AA,102.9,166.3,37.2
no,male,49,College or above,61.7,163.6,23.1
yes,female,67,Some college / AA,60.0,156.6,24.5
no,male,27,Some college / AA,90.4,180.5,27.7
yes,female,57,9-11th grade,98.0,156.6,40.0
yes,male,65,HS or GED,69.9,164.3,25.9
no,male,45,HS or GED,98.0,183.6,29.1
yes,male,45,College or above,81.4,172.0,27.5
no,female,26,HS or GED,48.0,155.3,19.9
yes,male,54,9-11th grade,104.6,167.1,37.5
no,female,41,College or above,46.4,160.0,18.1
no,female,20,Some college / AA,75.1,166.1,27.2
yes,male,38,Some college / AA,108.7,178.2,34.2
no,male,20,9-11th grade,88.4,154.1,37.2
yes,female,47,HS or GED,60.5,150.5,26.7
no,male,50,Some college / AA,95.4,175.7,30.9
no,female,58,9-11th grade,95.0,165.9,34.5
yes,male,48,9-11th grade,75.9,182.6,22.8
yes,male,62,Some college / AA,95.4,179.1,29.7
yes,male,64,Some college / AA,94.3,178.9,29.5
no,female,25,HS or GED,54.0,157.7,21.7
no,female,41,HS or GED,62.9,163.0,23.7
no,male,74,College or above,97.9,180.0,30.2
no,male,55,College or above,73.9,172.7,24.8
no,male,78,HS or GED,81.34267560889516,166.1428344791116,29.382197103497
no,female,19,Some college / AA,64.0,170.2,22.1
no,male,55,HS or GED,86.6,172.3,29.2
yes,female,34,9-11th grade,111.1,168.7,39.0
yes,female,55,Some college / AA,83.8,169.8,29.1
no,male,78,College or above,91.9,180.1,28.3
no,male,51,College or above,108.6,181.8,32.9
yes,male,56,Some college / AA,101.4,180.4,31.2
yes,female,61,HS or GED,88.4,165.9,32.1
no,male,20,HS or GED,90.2,177.9,28.5
yes,male,63,Some college / AA,88.7,170.1,30.7
yes,female,25,Some college / AA,82.8,164.0,30.8
no,male,38,College or above,69.8,170.4,24.0
yes,male,34,Some college / AA,102.8,187.0,29.4
no,male,39,College or above,62.0,179.6,19.2
no,female,67,College or above,59.4,161.9,22.7
yes,male,53,College or above,107.6,178.5,33.8
yes,male,38,HS or GED,78.1,177.7,24.7
no,female,23,Some college / AA,66.5,155.8,27.4
yes,male,22,HS or GED,117.7,188.6,33.1
yes,female,76,HS or GED,81.34267560889516,166.1428344791116,29.382197103497
yes,female,62,Some college / AA,61.0,162.2,23.2
yes,female,30,College or above,52.2,157.4,21.1
no,male,39,HS or GED,87.9,181.0,26.8
yes,male,21,HS or GED,79.6,181.7,24.1
yes,female,51,HS or GED,61.1,154.8,25.5
no,female,80,Some college / AA,100.1,165.9,36.4
yes,female,65,9-11th grade,73.9,159.5,29.0
yes,male,38,Some college / AA,85.9,166.5,31.0
no,female,30,Some college / AA,89.6,160.6,34.7
yes,male,47,9-11th grade,78.2,178.9,24.4
